M,z,y
17.88643924,0,-0.023035757
17.59145844,0.003186147,-0.022548111
17.29638697,0.006372294,-0.022063348
17.00095463,0.00955844,-0.02158202
16.70523958,0.012744587,-0.021103822
16.40939741,0.015930734,-0.020628561
16.11325903,0.019116881,-0.020157172
15.81687339,0.022303028,-0.019688594
15.52030457,0.025489175,-0.019223287
15.22361642,0.028675321,-0.018761469
14.92666646,0.031861468,-0.018302673
14.62946132,0.035047615,-0.017847132
14.33212823,0.038233762,-0.017394813
14.03449645,0.041419909,-0.016945494
13.7370013,0.044606056,-0.016499725
13.43892772,0.047792202,-0.016057178
13.14087387,0.050978349,-0.015617836
12.84267201,0.054164496,-0.015181521
12.54425134,0.057350643,-0.014748664
12.24583954,0.06053679,-0.014319088
11.94703394,0.063722936,-0.013892496
11.64812892,0.066909083,-0.01346928
11.34909882,0.07009523,-0.013049269
11.04999945,0.073281377,-0.012632449
10.75048231,0.076467524,-0.012218983
10.45116402,0.079653671,-0.011808584
10.15153056,0.082839817,-0.011401978
9.851778926,0.086025964,-0.010998147
9.551983719,0.089212111,-0.010597362
9.252075051,0.092398258,-0.010199978
8.952001074,0.095584405,-0.00980613
8.65177387,0.098770552,-0.009415151
8.351727298,0.101956698,-0.009027523
8.051397393,0.105142845,-0.008643142
7.750975598,0.108328992,-0.008261979
7.450553794,0.111515139,-0.007884229
7.150033053,0.114701286,-0.007509443
6.849322493,0.117887432,-0.007138033
6.548642912,0.121073579,-0.006770203
6.247887096,0.124259726,-0.006405026
5.947252351,0.127445873,-0.006043393
5.646470916,0.13063202,-0.005685028
5.345713659,0.133818167,-0.005329619
5.044787224,0.137004313,-0.004977535
4.743919457,0.14019046,-0.00462889
4.44313084,0.143376607,-0.004283152
4.141936335,0.146562754,-0.00394078
3.8412369,0.149748901,-0.003601645
3.540458253,0.152935048,-0.003265679
3.23952498,0.156121194,-0.002933382
2.938657,0.159307341,-0.002603707
2.638009808,0.162493488,-0.002277299
2.337160658,0.165679635,-0.001954428
2.036435485,0.168865782,-0.00163434
1.735860093,0.172051928,-0.001317956
1.43512623,0.175238075,-0.001004686
1.134561879,0.178424222,-0.000694207
0.834116112,0.181610369,-0.000387334
0.533890838,0.184796516,-8.36E-05
0.233513378,0.187982663,0.000216867
-0.066627446,0.191168809,0.000514283
-0.366849652,0.194354956,0.000808656
-0.666962996,0.197541103,0.001099607
-0.966594472,0.20072725,0.001387532
-1.266355936,0.203913397,0.001671934
-1.565844441,0.207099544,0.001953586
-1.865253079,0.21028569,0.002231885
-2.164425168,0.213471837,0.002507069
-2.463651713,0.216657984,0.002778912
-2.762587877,0.219844131,0.003047805
-3.061155014,0.223030278,0.003313252
-3.359824715,0.226216424,0.003575804
-3.658117459,0.229402571,0.003834913
-3.956283615,0.232588718,0.004090969
-4.254140446,0.235774865,0.004344097
-4.551866754,0.238961012,0.004593794
-4.849430659,0.242147159,0.004840646
-5.146428645,0.245333305,0.005084025
-5.443321917,0.248519452,0.00532494
-5.740068685,0.251705599,0.005562111
-6.036295205,0.254891746,0.005796001
-6.332380317,0.258077893,0.006027163
-6.628031511,0.26126404,0.006255103
-6.923466044,0.264450186,0.006479476
-7.218576285,0.267636333,0.00670127
-7.513395725,0.27082248,0.00692009
-7.807712678,0.274008627,0.007135255
-8.101932671,0.277194774,0.007347716
-8.39558991,0.28038092,0.007557218
-8.688853812,0.283567067,0.007763046
-8.981851459,0.286753214,0.007966447
-9.274378029,0.289939361,0.008166436
-9.56633568,0.293125508,0.008363473
-9.858173211,0.296311655,0.008557461
-10.14934579,0.299497801,0.008748083
-10.44023878,0.302683948,0.008935922
-10.73059485,0.305870095,0.009120701
-11.02033594,0.309056242,0.009302195
-11.30970709,0.312242389,0.009480908
-11.59861495,0.315428536,0.009656712
-11.88678003,0.318614682,0.009829274
-12.17495683,0.321800829,0.009999101
-12.46207088,0.324986976,0.010165505
-12.74888247,0.328173123,0.010329032
-13.03495137,0.33135927,0.010489495
-13.32042578,0.334545416,0.01064722
-13.60569342,0.337731563,0.010801921
-13.88991444,0.34091771,0.010953203
-14.17388773,0.344103857,0.011102031
-14.45697043,0.347290004,0.011247395
-14.73943372,0.350476151,0.011390215
-15.02112785,0.353662297,0.011529824
-15.30235672,0.356848444,0.011666607
-15.58283968,0.360034591,0.011800599
-15.86246514,0.363220738,0.011931527
-16.14163458,0.366406885,0.012059435
-16.41983949,0.369593032,0.012184501
-16.69740872,0.372779178,0.012306502
-16.97422741,0.375965325,0.01242576
-17.2501207,0.379151472,0.012542052
-17.52510955,0.382337619,0.012655921
-17.79962947,0.385523766,0.012766332
-18.07320572,0.388709912,0.012873951
-18.34589095,0.391896059,0.012978678
-18.61766136,0.395082206,0.013080716
-18.88858408,0.398268353,0.013179976
-19.15865601,0.4014545,0.013276175
-19.42769427,0.404640647,0.013369674
-19.69580939,0.407826793,0.013460292
-19.96308713,0.41101294,0.01354809
-20.22926976,0.414199087,0.013633041
-20.4945425,0.417385234,0.013715851
-20.75881014,0.420571381,0.01379471
-21.02208159,0.423757528,0.013871777
-21.28412589,0.426943674,0.013945393
-21.54537979,0.430129821,0.014016321
-21.80539197,0.433315968,0.014084727
-22.0642397,0.436502115,0.014150455
-22.32211126,0.439688262,0.014213482
-22.57892823,0.442874408,0.014273642
-22.83443013,0.446060555,0.014330946
-23.08865477,0.449246702,0.014385868
-23.34197463,0.452432849,0.014437613
-23.59372343,0.455618996,0.014487176
-23.84461819,0.458805143,0.014534092
-24.09387208,0.461991289,0.014577847
-24.34212744,0.465177436,0.014618967
-24.58892518,0.468363583,0.014657949
-24.83443279,0.47154973,0.014693953
-25.07857039,0.474735877,0.014727281
-25.32145953,0.477922024,0.014758359
-25.56287612,0.48110817,0.014786703
-25.80289832,0.484294317,0.014812165
-26.04143814,0.487480464,0.014835149
-26.27869327,0.490666611,0.014855672
-26.51419969,0.493852758,0.014873494
-26.74850234,0.497038904,0.014888749
-26.98102319,0.500225051,0.014901899
-27.21205618,0.503411198,0.014912113
-27.44156069,0.506597345,0.014919737
-27.66949212,0.509783492,0.01492468
-27.89572204,0.512969639,0.01492794
-28.12029409,0.516155785,0.014928299
-28.34332752,0.519341932,0.014925894
-28.5646509,0.522528079,0.014921223
-28.783991,0.525714226,0.014914335
-29.00198815,0.528900373,0.014904756
-29.21778919,0.53208652,0.014892914
-29.43213358,0.535272666,0.014878184
-29.64443171,0.538458813,0.01486167
-29.85506808,0.54164496,0.014842347
-30.06362509,0.544831107,0.014821004
-30.27043031,0.548017254,0.014796703
-30.47528784,0.5512034,0.014770789
-30.67811784,0.554389547,0.014742127
-30.87897511,0.557575694,0.014711223
-31.07782354,0.560761841,0.014678018
-31.27453969,0.563947988,0.014642294
-31.4693132,0.567134135,0.014604532
-31.66187526,0.570320281,0.014564656
-31.85225688,0.573506428,0.014522166
-32.04062514,0.576692575,0.014477393
-32.2266711,0.579878722,0.014430537
-32.41066931,0.583064869,0.014381391
-32.59231182,0.586251016,0.014330543
-32.77168831,0.589437162,0.014276688
-32.94874286,0.592623309,0.014221351
-33.12323135,0.595809456,0.014163293
-33.2957157,0.598995603,0.014103556
-33.46550182,0.60218175,0.014041428
-33.63292858,0.605367896,0.013976991
-33.79779151,0.608554043,0.013910783
-33.96031154,0.61174019,0.013842008
-34.12020303,0.614926337,0.013771587
-34.27753659,0.618112484,0.0136989
-34.43217535,0.621298631,0.013624192
-34.58425657,0.624484777,0.013547739
-34.73344344,0.627670924,0.013468849
-34.88023312,0.630857071,0.01338791
-35.02429672,0.634043218,0.013305405
-35.16526648,0.637229365,0.013220515
-35.303628,0.640415512,0.013133798
-35.43896493,0.643601658,0.013045358
-35.57143673,0.646787805,0.012954545
-35.70100168,0.649973952,0.012862092
-35.82761219,0.653160099,0.012767761
-35.95133767,0.656346246,0.012671282
-36.07182651,0.659532392,0.012573021
-36.18929608,0.662718539,0.012473036
-36.30371732,0.665904686,0.012371061
-36.41490158,0.669090833,0.012267115
-36.52296376,0.67227698,0.012161534
-36.62770067,0.675463127,0.012054181
-36.72915155,0.678649273,0.011945374
-36.82703254,0.68183542,0.011834128
-36.92206042,0.685021567,0.011721444
-37.01341689,0.688207714,0.011607109
-37.10117405,0.691393861,0.011490858
-37.18573847,0.694580008,0.011372838
-37.26653533,0.697766154,0.011253434
-37.34390239,0.700952301,0.011132284
-37.41751558,0.704138448,0.01100934
-37.48765328,0.707324595,0.010884951
-37.55394561,0.710510742,0.010758602
-37.61664511,0.713696888,0.010630977
-37.67532143,0.716883035,0.010501324
-37.73034078,0.720069182,0.010370452
-37.78128383,0.723255329,0.010237827
-37.82844828,0.726441476,0.010104119
-37.87168713,0.729627623,0.009968491
-37.91078929,0.732813769,0.00983148
-37.94569915,0.735999916,0.009692705
-37.97686347,0.739186063,0.00955271
-38.00361582,0.74237221,0.009411219
-38.02609834,0.745558357,0.009268218
-38.04445095,0.748744504,0.009123942
-38.0585704,0.75193065,0.008978166
-38.06795004,0.755116797,0.008830777
-38.07328277,0.758302944,0.008682464
-38.07402693,0.761489091,0.008532557
-38.07028284,0.764675238,0.008381249
-38.06179544,0.767861384,0.008228619
-38.04897132,0.771047531,0.008074707
-38.03139639,0.774233678,0.007919743
-38.00901706,0.777419825,0.007763327
-37.9819237,0.780605972,0.007605591
-37.95015239,0.783792119,0.007446734
-37.91319021,0.786978265,0.007286835
-37.87138566,0.790164412,0.007125387
-37.82470915,0.793350559,0.006962964
-37.77298285,0.796536706,0.006799154
-37.71609819,0.799722853,0.006634384
-37.6540481,0.802908999,0.006468646
-37.58695833,0.806095146,0.006301388
-37.51427252,0.809281293,0.006133454
-37.436432,0.81246744,0.005964047
-37.3533313,0.815653587,0.005794084
-37.26455571,0.818839734,0.005622921
-37.1703535,0.82202588,0.005450895
-37.07078483,0.825212027,0.005277469
-36.96532702,0.828398174,0.005103283
-36.85444108,0.831584321,0.004927914
-36.73756761,0.834770468,0.00475202
-36.61501888,0.837956615,0.00457475
-36.48661226,0.841142761,0.004397031
-36.35222767,0.844328908,0.004217935
-36.211957,0.847515055,0.004038313
-36.06570697,0.850701202,0.003858095
-35.91319718,0.853887349,0.003676817
-35.75449462,0.857073495,0.003494367
-35.58978392,0.860259642,0.003311431
-35.41834945,0.863445789,0.00312791
-35.24100069,0.866631936,0.00294346
-35.05687265,0.869818083,0.002758012
-34.86639025,0.87300423,0.002572394
-34.66932055,0.876190376,0.002385899
-34.46574738,0.879376523,0.00219838
-34.25519184,0.88256267,0.002010629
-34.03797909,0.885748817,0.001822319
-33.81415109,0.888934964,0.001632838
-33.58327657,0.892121111,0.001443217
-33.3452077,0.895307257,0.001253082
-33.10049014,0.898493404,0.001062353
-32.84850107,0.901679551,0.000870892
-32.58925225,0.904865698,0.000679077
-32.32285889,0.908051845,0.000486505
