M,z,y
-1.35101471,0,3.188354559
-1.341025852,0.009004502,3.187783183
-1.33093581,0.018009005,3.18720848
-1.320733617,0.027013507,3.186631116
-1.310435555,0.036018009,3.186050583
-1.300045725,0.045022511,3.185466434
-1.289533748,0.054027014,3.184879436
-1.278926289,0.063031516,3.184288374
-1.268201488,0.072036018,3.18369558
-1.257387809,0.08104052,3.18309826
-1.246460342,0.090045023,3.18249901
-1.23542534,0.099049525,3.181895687
-1.224294635,0.108054027,3.181289965
-1.213064977,0.117058529,3.180680445
-1.201711995,0.126063032,3.180068289
-1.19026571,0.135067534,3.179452554
-1.17869829,0.144072036,3.17883364
-1.167038455,0.153076538,3.178211811
-1.155270619,0.162081041,3.177586999
-1.143393416,0.171085543,3.176959011
-1.131417417,0.180090045,3.176327628
-1.119321565,0.189094547,3.17569375
-1.107117536,0.19809905,3.175056845
-1.094820311,0.207103552,3.174415944
-1.082412387,0.216108054,3.17377228
-1.069895371,0.225112556,3.173125982
-1.057264243,0.234117059,3.172476123
-1.04453244,0.243121561,3.171823541
-1.031696935,0.252126063,3.171167689
-1.018746968,0.261130565,3.170509273
-1.005674949,0.270135068,3.169847355
-0.992509707,0.27913957,3.169182327
-0.979235409,0.288144072,3.168514532
-0.965845021,0.297148574,3.167843145
-0.95234808,0.306153077,3.167169389
-0.938748565,0.315157579,3.166492272
-0.925031376,0.324162081,3.165812754
-0.911209227,0.333166583,3.165129556
-0.897273594,0.342171086,3.164443361
-0.883238352,0.351175588,3.163754051
-0.869076355,0.36018009,3.163062581
-0.854812041,0.369184592,3.162367639
-0.84043047,0.378189095,3.161669348
-0.825955567,0.387193597,3.160968381
-0.811356041,0.396198099,3.160265128
-0.7966476,0.405202601,3.159558124
-0.781826476,0.414207104,3.158848143
-0.766905324,0.423211606,3.158135723
-0.751853517,0.432216108,3.157419809
-0.736704998,0.44122061,3.156701332
-0.721432795,0.450225113,3.155979642
-0.706057983,0.459229615,3.155255366
-0.690570204,0.468234117,3.154528787
-0.67496419,0.477238619,3.153797839
-0.659249592,0.486243122,3.153065232
-0.643418658,0.495247624,3.152329111
-0.627483194,0.504252126,3.151590017
-0.611430259,0.513256628,3.150848638
-0.595268251,0.522261131,3.150103719
-0.578981282,0.531265633,3.149356824
-0.562596113,0.540270135,3.148606157
-0.546086495,0.549274637,3.147853597
-0.529462436,0.55827914,3.147097082
-0.512725145,0.567283642,3.14633869
-0.495883019,0.576288144,3.145577339
-0.478920287,0.585292646,3.144812181
-0.461844796,0.594297149,3.14404489
-0.44464358,0.603301651,3.143275471
-0.427345183,0.612306153,3.142502166
-0.409918852,0.621310655,3.141727172
-0.392391236,0.630315158,3.140948538
-0.374736335,0.63931966,3.140167331
-0.356965228,0.648324162,3.139383602
-0.339089002,0.657328664,3.138596826
-0.321102693,0.666333167,3.137807404
-0.302982269,0.675337669,3.137014812
-0.28475636,0.684342171,3.136219679
-0.266412897,0.693346673,3.135422266
-0.247949053,0.702351176,3.134622195
-0.229374534,0.711355678,3.133818514
-0.210678517,0.72036018,3.133013239
-0.191864538,0.729364682,3.13220449
-0.172953941,0.738369185,3.131393205
-0.153908487,0.747373687,3.130579364
-0.134747298,0.756378189,3.12976271
-0.115467408,0.765382691,3.128943461
-0.09608391,0.774387194,3.12812123
-0.076572632,0.783391696,3.127297312
-0.056945249,0.792396198,3.126469674
-0.037198143,0.8014007,3.125640071
-0.017342329,0.810405203,3.124807367
0.002634461,0.819409705,3.123971895
0.022731984,0.828414207,3.123134383
0.042952914,0.837418709,3.122293938
0.063279119,0.846423212,3.121450736
0.083737503,0.855427714,3.120605756
0.104302868,0.864432216,3.11975736
0.124991561,0.873436718,3.11890576
0.145794498,0.882441221,3.118052617
0.166717215,0.891445723,3.117196679
0.187760094,0.900450225,3.116338544
0.208921101,0.909454727,3.115476977
0.230204727,0.91845923,3.114613059
0.251598032,0.927463732,3.113747216
0.273118688,0.936468234,3.112878749
0.294760404,0.945472736,3.112007537
0.316507555,0.954477239,3.111133934
0.338388203,0.963481741,3.110257423
0.360384213,0.972486243,3.109379042
0.382500297,0.981490745,3.108497948
0.404731376,0.990495248,3.107614177
0.427082967,0.99949975,3.10672795
0.449565473,1.008504252,3.105838665
0.472145956,1.017508754,3.104948086
0.494861468,1.026513257,3.104054473
0.517698598,1.035517759,3.103158376
0.54065329,1.044522261,3.102260176
0.563727181,1.053526763,3.101359127
0.586907784,1.062531266,3.100456115
0.610232666,1.071535768,3.099549726
0.633666116,1.08054027,3.098642101
0.65721815,1.089544772,3.097731523
0.680885444,1.098549275,3.096818752
0.704697912,1.107553777,3.095903895
0.728610375,1.116558279,3.094986307
0.752641388,1.125562781,3.09406548
0.776805059,1.134567284,3.093143508
0.801075204,1.143571786,3.092218986
0.825482503,1.152576288,3.09129155
0.850002109,1.16158079,3.090362562
0.874642119,1.170585293,3.089430959
0.899408458,1.179589795,3.088497075
0.924294984,1.188594297,3.087560587
0.949292482,1.197598799,3.08662256
0.974428533,1.206603302,3.085682118
0.999674811,1.215607804,3.084738467
1.025050925,1.224612306,3.0837931
1.050539404,1.233616808,3.082845104
1.076158067,1.242621311,3.081895022
1.101889556,1.251625813,3.080943154
1.127745445,1.260630315,3.079989002
1.15372433,1.269634817,3.079031856
1.179824505,1.27863932,3.078073725
1.206048396,1.287643822,3.077112234
1.232387231,1.296648324,3.076149215
1.258861617,1.305652826,3.075183988
1.285448545,1.314657329,3.074216604
1.312156248,1.323661831,3.07324683
1.339000042,1.332666333,3.072274203
1.365947284,1.341670835,3.071300283
1.39302717,1.350675338,3.070324795
1.420229529,1.35967984,3.06934563
1.447544487,1.368684342,3.068365477
1.474985076,1.377688844,3.067383523
1.502551213,1.386693347,3.066398593
1.530238395,1.395697849,3.065411581
