M,z,y
-0.012670985,0,0.091064646
-0.012825135,0.009404702,0.089945832
-0.012978588,0.018809405,0.088856031
-0.01313111,0.028214107,0.087769558
-0.013282658,0.037618809,0.086700998
-0.013433539,0.047023512,0.08563207
-0.01358351,0.056428214,0.084582042
-0.01373258,0.065832916,0.083543899
-0.013880871,0.075237619,0.082517947
-0.014028226,0.084642321,0.081503608
-0.014174773,0.094047024,0.080496244
-0.014320479,0.103451726,0.079506557
-0.014465202,0.112856428,0.078526567
-0.01460912,0.122261131,0.077548123
-0.014752228,0.131665833,0.076593307
-0.014894357,0.141070535,0.075647064
-0.015035623,0.150475238,0.074706422
-0.015176055,0.15987994,0.073789812
-0.015315511,0.169284642,0.072868282
-0.015454241,0.178689345,0.071971017
-0.015592042,0.188094047,0.071078354
-0.015728876,0.197498749,0.070192246
-0.015864973,0.206903452,0.069327075
-0.016000051,0.216308154,0.068462197
-0.016134216,0.225712856,0.067613798
-0.01626763,0.235117559,0.06677737
-0.016400094,0.244522261,0.065943064
-0.016531707,0.253926963,0.065131097
-0.016662259,0.263331666,0.064318129
-0.016791975,0.272736368,0.063514688
-0.016920899,0.282141071,0.062729884
-0.017048882,0.291545773,0.0619574
-0.017175979,0.300950475,0.061189918
-0.017302057,0.310355178,0.060433073
-0.017427269,0.31975988,0.059691036
-0.017551716,0.329164582,0.058949966
-0.017675215,0.338569285,0.058217816
-0.017797703,0.347973987,0.057502797
-0.017919235,0.357378689,0.056799207
-0.018039959,0.366783392,0.05610212
-0.018159812,0.376188094,0.055413534
-0.018278648,0.385592796,0.054734857
-0.018396588,0.394997499,0.05406486
-0.018513639,0.404402201,0.053405095
-0.01862973,0.413806903,0.052754218
-0.018744813,0.423211606,0.052110451
-0.018859208,0.432616308,0.051478314
-0.018972437,0.442021011,0.050851209
-0.019084908,0.451425713,0.050244168
-0.019196398,0.460830415,0.049637198
-0.01930679,0.470235118,0.049041281
-0.019416504,0.47963982,0.048458361
-0.019525079,0.489044522,0.047876634
-0.019633007,0.498449225,0.0473091
-0.019739804,0.507853927,0.046750457
-0.019845588,0.517258629,0.046194794
-0.019950443,0.526663332,0.045656403
-0.020054416,0.536068034,0.045120602
-0.020157399,0.545472736,0.044590862
-0.020259622,0.554877439,0.044074772
-0.020360594,0.564282141,0.043568048
-0.020460915,0.573686843,0.043064463
-0.020560039,0.583091546,0.042568726
-0.020658303,0.592496248,0.042087453
-0.020755751,0.60190095,0.041614664
-0.020852163,0.611305653,0.041137169
-0.020947486,0.620710355,0.040676563
-0.021041932,0.630115058,0.040218284
-0.021135412,0.63951976,0.039781638
-0.021227892,0.648924462,0.039345037
-0.021319454,0.658329165,0.038914438
-0.021410086,0.667733867,0.038492096
-0.021499731,0.677138569,0.038077854
-0.021588385,0.686543272,0.037670966
-0.02167604,0.695947974,0.037275455
-0.02176279,0.705352676,0.036882452
-0.021848511,0.714757379,0.036486751
-0.021933332,0.724162081,0.036112665
-0.022017049,0.733566783,0.035739735
-0.022099888,0.742971486,0.035380367
-0.022181632,0.752376188,0.035025886
-0.022262581,0.76178089,0.034669531
-0.022342377,0.771185593,0.03432876
-0.022421248,0.780590295,0.03399415
-0.02249917,0.789994997,0.033662429
-0.022576023,0.7993997,0.033338712
-0.022651966,0.808804402,0.033020485
-0.022726903,0.818209105,0.032718549
-0.022800764,0.827613807,0.032408697
-0.022873748,0.837018509,0.03211612
-0.022945759,0.846423212,0.031825276
-0.02301666,0.855827914,0.031536252
-0.023086675,0.865232616,0.031265737
-0.023155438,0.874637319,0.030990948
-0.023223495,0.884042021,0.030724788
-0.02329043,0.893446723,0.030459371
-0.023356428,0.902851426,0.030216059
-0.023421328,0.912256128,0.029959728
-0.023485224,0.92166083,0.029718852
-0.023548139,0.931065533,0.029482519
-0.023610022,0.940470235,0.029248077
-0.023670899,0.949874937,0.029026445
-0.023730799,0.95927964,0.028805292
-0.023789553,0.968684342,0.028590648
